iter	Passed	Remaining
0	0	70
1	1	72
2	2	72
3	2	67
4	3	67
5	4	67
6	5	66
7	5	66
8	6	65
9	7	64
10	7	63
11	8	63
12	9	64
13	10	64
14	11	63
15	12	63
16	12	62
17	13	62
18	14	61
19	15	60
20	15	59
21	16	58
22	17	57
23	18	57
24	18	56
25	19	55
26	20	55
27	21	54
28	21	53
29	22	52
30	23	52
31	24	51
32	25	50
33	25	49
34	26	49
35	27	48
36	27	47
37	28	46
38	29	45
39	30	45
40	30	44
41	31	42
42	31	42
43	32	41
44	33	40
45	33	39
46	34	39
47	35	38
48	36	37
49	36	36
50	37	36
51	38	35
52	39	34
53	39	34
54	40	33
55	41	32
56	41	31
57	42	30
58	43	30
59	44	29
60	44	28
61	45	27
62	46	27
63	46	26
64	47	25
65	48	24
66	49	24
67	50	23
68	50	22
69	51	22
70	52	21
71	53	20
72	53	19
73	54	19
74	55	18
75	56	17
76	56	16
77	57	16
78	58	15
79	58	14
80	59	14
81	60	13
82	61	12
83	61	11
84	62	11
85	63	10
86	64	9
87	64	8
88	65	8
89	66	7
90	67	6
91	67	5
92	68	5
93	69	4
94	69	3
95	70	2
96	71	2
97	72	1
98	72	0
99	73	0
