iter	Passed	Remaining
0	142	142480
1	144	71870
2	144	48085
3	145	36236
4	146	29111
5	146	24347
6	148	21014
7	150	18659
8	151	16728
9	152	15104
10	153	13801
11	154	12706
12	156	11883
13	157	11102
14	158	10396
15	159	9815
16	160	9292
17	161	8804
18	162	8366
19	162	7967
20	163	7604
21	163	7275
22	164	6975
23	165	6713
24	166	6481
25	167	6277
26	168	6057
27	168	5853
28	169	5663
29	169	5485
30	170	5320
31	170	5172
32	171	5034
33	173	4917
34	173	4790
35	174	4668
36	174	4553
37	175	4447
38	177	4363
39	179	4310
40	180	4219
41	181	4128
42	181	4041
43	182	3962
44	183	3904
45	185	3842
46	186	3771
47	186	3703
48	187	3635
49	188	3574
50	189	3524
51	190	3471
52	190	3411
53	191	3354
54	192	3300
55	192	3247
56	193	3195
57	193	3146
58	194	3106
59	195	3067
60	197	3036
61	198	2999
62	198	2957
63	199	2920
64	200	2889
65	201	2853
66	203	2828
67	204	2796
68	204	2761
69	205	2727
70	213	2793
71	215	2782
72	216	2755
73	217	2724
74	218	2696
75	220	2676
76	221	2652
77	222	2624
78	222	2596
79	223	2567
80	223	2540
81	224	2513
82	224	2484
83	226	2470
84	227	2451
85	228	2427
86	229	2404
87	229	2381
88	230	2359
89	232	2349
90	233	2330
91	234	2316
92	235	2296
93	236	2276
94	236	2257
95	238	2245
96	241	2246
97	242	2229
98	242	2210
99	243	2192
100	244	2174
101	247	2177
102	248	2163
103	249	2145
104	249	2129
105	251	2118
106	251	2102
107	252	2088
108	253	2073
109	254	2058
110	255	2043
111	256	2034
112	258	2026
113	258	2012
114	259	1997
115	260	1982
116	260	1967
117	261	1954
118	262	1944
119	265	1946
120	266	1937
121	267	1922
122	268	1912
123	270	1910
124	272	1905
125	272	1893
126	273	1880
127	275	1875
128	276	1867
129	277	1855
130	277	1843
131	278	1831
132	279	1819
133	280	1811
134	281	1803
135	283	1798
136	284	1789
137	284	1778
138	285	1767
139	286	1760
140	287	1750
141	288	1741
142	288	1731
143	289	1721
144	290	1712
145	290	1702
146	291	1692
147	293	1689
148	295	1689
149	296	1680
150	297	1672
151	299	1671
152	301	1671
153	302	1663
154	303	1653
155	304	1648
156	305	1641
157	306	1634
158	307	1626
159	308	1618
160	308	1608
161	309	1600
162	310	1596
163	311	1588
164	312	1583
165	313	1576
166	314	1568
167	315	1560
168	316	1558
169	318	1553
170	319	1546
171	320	1540
172	320	1533
173	321	1527
174	323	1523
175	325	1525
176	326	1518
177	327	1511
178	328	1505
179	329	1501
180	332	1503
181	333	1497
182	334	1491
183	335	1488
184	336	1481
185	337	1476
186	337	1469
187	338	1462
188	339	1456
189	340	1450
190	341	1447
191	342	1443
192	343	1436
193	344	1430
194	344	1423
195	345	1417
196	346	1411
197	347	1408
198	349	1406
199	350	1401
200	350	1394
201	351	1388
202	352	1382
203	353	1379
204	355	1379
205	357	1376
206	357	1371
207	358	1365
208	359	1360
209	362	1363
210	363	1359
211	364	1354
212	365	1350
213	367	1350
214	368	1346
215	369	1341
216	370	1336
217	370	1330
218	372	1328
219	373	1325
220	375	1323
221	376	1318
222	376	1313
223	377	1307
224	378	1304
225	379	1301
226	380	1295
227	381	1290
228	381	1284
229	382	1279
230	382	1274
231	383	1269
232	384	1266
233	386	1265
234	387	1261
235	388	1256
236	388	1251
237	389	1247
238	390	1242
239	391	1240
240	392	1237
241	393	1233
242	394	1228
243	394	1223
244	395	1219
245	396	1216
246	398	1213
247	398	1208
248	399	1204
249	399	1199
250	400	1195
251	401	1190
252	401	1185
253	402	1182
254	403	1179
255	404	1176
256	405	1172
257	406	1168
258	406	1163
259	407	1160
260	409	1160
261	411	1158
262	412	1154
263	412	1150
264	413	1146
265	413	1142
266	416	1143
267	417	1141
268	418	1137
269	419	1132
270	420	1129
271	421	1127
272	422	1125
273	423	1121
274	423	1116
275	424	1112
276	424	1108
277	425	1104
278	426	1102
279	427	1099
280	429	1097
281	429	1094
282	430	1090
283	431	1086
284	432	1085
285	433	1082
286	434	1080
287	435	1076
288	436	1072
289	436	1069
290	437	1065
291	438	1062
292	439	1059
293	440	1056
294	440	1053
295	441	1049
296	442	1046
297	442	1042
298	443	1039
299	446	1041
300	447	1039
301	449	1038
302	449	1034
303	450	1031
304	451	1028
305	453	1027
306	454	1025
307	455	1022
308	455	1019
